id;tcis_code;tcis_type;tcis_incol;tcis_editrule
1;COMMON;SCHEMATIC_PART;T;
2;COMMON;DEL;N;
3;COMMON;PART_TYPE;L;
4;COMMON;PART_NUMBER;T;
5;COMMON;MANUFACTURE;W;
6;COMMON;B_CODE;AC;
7;COMMON;ITEM_REGISTRATION_CLASSFICATION;;3
8;COMMON;SPICE_MODEL;;
9;A/Dコンバータ;VALUE;T;
10;A/Dコンバータ;PARTS_NAME;;IC
11;A/Dコンバータ;PACKAGE_TYPE;AP;
12;CCDエリアセンサ;VALUE;;
13;CCDエリアセンサ;PARTS_NAME;;IC
14;CCDリニアセンサ;VALUE;;
15;CCDリニアセンサ;PARTS_NAME;;IC
16;D/Aコンバータ;VALUE;T;
17;D/Aコンバータ;PARTS_NAME;;IC
18;D/Aコンバータ;PACKAGE_TYPE;AP;
19;DC-DCコンバータ;VALUE;T;
20;DC-DCコンバータ;PARTS_NAME;;IC
21;DIMMソケット;VALUE;AK;
22;DIMMソケット;PARTS_NAME;;J
23;DRAM;VALUE;T;
24;DRAM;PARTS_NAME;;IC
25;DSP;VALUE;T;
26;DSP;PARTS_NAME;;IC
27;EEPROM;VALUE;T;
28;EEPROM;PARTS_NAME;;IC
29;EMIフィルタ;VALUE;;
30;EMIフィルタ;PARTS_NAME;;NF
31;EPROM;VALUE;T;
32;EPROM;PARTS_NAME;;IC
33;GTOサイリスタ;VALUE;;
34;GTOサイリスタ;PARTS_NAME;;SCR
35;IC/LSIソケット;VALUE;;
36;IC/LSIソケット;PARTS_NAME;;J
37;IC/LSIソケット;PACKAGE_TYPE;AK;
38;ICカード用IC;VALUE;T;
39;ICカード用IC;PARTS_NAME;;IC
40;IGBT;VALUE;;
41;IGBT;PARTS_NAME;;Q
42;IPD;VALUE;T;
43;IPD;PARTS_NAME;;IC
44;LEDランプ;VALUE;;
45;LEDランプ;PARTS_NAME;;OPT
46;MOSFET;VALUE;;
47;MOSFET;PARTS_NAME;;Q
48;MOSセンサ;VALUE;;
49;MOSセンサ;PARTS_NAME;;IC
50;NTCサーミスタ;VALUE;AG,AH;
51;NTCサーミスタ;TOLERANCE;AI,AJ;
52;NTCサーミスタ;PARTS_NAME;;TS
53;OTPROM;PARTS_NAME;;IC
54;OTPROM;VALUE;T;
55;PTCサーミスタ;VALUE;AG,AH;
56;PTCサーミスタ;TOLERANCE;AI,AJ;
57;PTCサーミスタ;PARTS_NAME;;TS
58;SRAM;VALUE;T;
59;SRAM;PARTS_NAME;;IC
60;TVSダイオード;VALUE;;
61;TVSダイオード;PARTS_NAME;;D
62;アンテナ受け口;VALUE;;
63;アンテナ受け口;PARTS_NAME;;J
64;インタフェースドライバ;VALUE;T;
65;インタフェースドライバ;PARTS_NAME;;IC
66;インバータ;VALUE;T;
67;インバータ;PARTS_NAME;;IC
68;エンコーダ;VALUE;;
69;エンコーダ;PARTS_NAME;;SW
70;オペアンプ;PACKAGE_TYPE;AU;
71;オペアンプ;VALUE;T;
72;オペアンプ;PARTS_NAME;;IC
73;カスタムIC;VALUE;T;
74;カスタムIC;PARTS_NAME;;IC
75;コモンモードチョークコイル;VALUE;;
76;コモンモードチョークコイル;PARTS_NAME;;L
77;コンパレータ;VALUE;T;
78;コンパレータ;PARTS_NAME;;IC
79;サーキットプロテクタ;PARTS_NAME;;SW
80;サーキットプロテクタ;RATING_VOLTAGE;AI,AJ;
81;サーキットプロテクタ;VALUE;AG,AH;
82;シャント電源用IC;VALUE;T;
83;シャント電源用IC;PARTS_NAME;;IC
84;ショットキバリアダイオード;VALUE;;
85;ショットキバリアダイオード;PARTS_NAME;;D
86;シリーズ電源用IC;VALUE;T;
87;シリーズ電源用IC;PARTS_NAME;;IC
88;シリーズ電源用IC;PACKAGE_TYPE;AG;
89;スイッチングダイオード;VALUE;;
90;スイッチングダイオード;PARTS_NAME;;D
91;スイッチング電源用IC;VALUE;T;
92;スイッチング電源用IC;PARTS_NAME;;IC
93;スイッチング電源用IC;PACKAGE_TYPE;AG;
94;ステッピングモータドライバIC;VALUE;T;
95;ステッピングモータドライバIC;PARTS_NAME;;IC
96;ストレージ用IC;VALUE;T;
97;ストレージ用IC;PARTS_NAME;;IC
98;スピーカ;VALUE;T;
99;スピーカ;PARTS_NAME;;SP
100;スライドスイッチ;VALUE;;
101;スライドスイッチ;PARTS_NAME;;SW
102;セグメント型有機ELディスプレイ;VALUE;;
103;セグメント型有機ELディスプレイ;PARTS_NAME;;VDT
104;セグメント型液晶表示デバイス;VALUE;;
105;セグメント型液晶表示デバイス;PARTS_NAME;;LCD
106;セラミックコンデンサ;PCB_FOOTPRINT;AM,AO,AQ,AS,AY;
107;セラミックコンデンサ;SCHEMATIC_PART;;C
108;セラミックコンデンサ;VALUE;AZ,BA;
109;セラミックコンデンサ;RATING_VOLTAGE;AG,AH;
110;セラミックコンデンサ;CHARACTERISTICS;BF;
111;セラミックコンデンサ;TOLERANCE;BB,BC,BD,BE;
112;セラミックコンデンサ;PARTS_NAME;;C
113;ツェナーダイオード;VALUE;;
114;ツェナーダイオード;PARTS_NAME;;D
115;データ通信用送受信ユニット;VALUE;T;
116;データ通信用送受信ユニット;PARTS_NAME;;IC
117;ディップスイッチ;VALUE;;
118;ディップスイッチ;PARTS_NAME;;SW
119;ディレイライン;PARTS_NAME;;
120;ディレイライン;VALUE;;
121;トライアック;VALUE;;
122;トライアック;PARTS_NAME;;SCR
123;トランジスタソケット;VALUE;;
124;トランジスタソケット;PARTS_NAME;;J
125;トランス;PARTS_NAME;;T
126;トランス;VALUE;;
127;トランスミッタ／レシーバ;PARTS_NAME;;OPT
128;トランスミッタ／レシーバ;VALUE;AG;
129;ネットワーク抵抗器;VALUE;AI,AJ;
130;ネットワーク抵抗器;PCB_FOOTPRINT;AV,AX,AZ,BB,BH;
131;ネットワーク抵抗器;RATING_ELECTRICITY;AG,AH;
132;ネットワーク抵抗器;TOLERANCE;AK,AL;
133;ネットワーク抵抗器;PARTS_NAME;;R
