id;uuid;tcih_code;tcih_filename;tcih_importtime;tcih_status;create_by;create_time;update_by;update_time;del_flag;remark
1;b5929093-ccd3-4852-9f43-eb1db81cb412;continually;cheese;2025-04-15T08:29:28;false;above deliberately;2025-04-15T16:51:01;above;2025-04-16T05:10:20;false;longingly antique till
2;5851ab10-b689-4551-92bb-3aae37d337de;finally;past sham;2025-04-16T03:59:14;true;unnaturally;2025-04-15T07:22:38;gadzooks shred chainstay;2025-04-15T15:49:38;true;rich
3;2acbbfa0-65ee-4562-8ead-b2aae13df5d8;woot exotic though;slope;2025-04-15T07:10:50;false;regarding;2025-04-15T19:47:39;astride;2025-04-16T04:08:18;true;now
4;a521f098-cd5b-404d-9a86-b1c15218cad2;longboat defiantly after;near than upside-down;2025-04-15T05:12:46;false;always after geez;2025-04-15T07:47:53;cloudy;2025-04-15T18:58:12;false;governance only
5;d5e2e255-5621-460d-9b64-87a76e80d534;dream along homeschool;unexpectedly spiteful as;2025-04-15T17:58:07;false;midst;2025-04-16T02:38:16;joyfully;2025-04-15T23:59:20;false;truly dismal
6;b6ed96ed-48e7-4212-b980-02b4f4d62b92;without excitedly;that;2025-04-15T12:07:10;false;inwardly;2025-04-15T09:15:35;completion;2025-04-15T17:55:37;true;ha rosemary wildly
7;bbab3a57-58cb-4e9e-93ad-55f205b87aa4;geez;scale;2025-04-15T14:31:53;false;oh oh gah;2025-04-16T04:59:45;decent;2025-04-16T01:14:23;true;athwart since loftily
8;c74652a7-bfaa-49b6-9a03-427fe21bc94d;compromise all after;meh supposing;2025-04-15T15:54:08;false;unnaturally silent from;2025-04-15T06:16:52;when quietly;2025-04-16T04:38:25;true;absent
9;998f952c-6ba7-4d8c-b952-98924e143864;haunting drain save;recklessly provided phooey;2025-04-15T07:29:56;false;wrathful bravely;2025-04-15T10:53:56;apud gee;2025-04-15T17:30:43;false;sternly practical
10;acf72a25-c1a8-450f-a3f8-53f4e06810b8;ick evince;clamour ravel as;2025-04-15T13:33:14;true;communicate about valiantly;2025-04-15T14:06:36;private deeply astride;2025-04-16T04:23:12;false;rapidly
