id;tcis_code;tcis_type;tcis_incol;tcis_editrule
1;per;likewise;soon unrealistic fat;sometimes far-off
2;verbally eek;dental feline prudent;preregister;aside
3;rubbery plump viciously;against;excepting qualified aw;hmph
4;galvanize ravage viability;soulful;fiddle draft before;tempting
5;adjourn mechanic;overproduce anti;blah tabletop;for flu godfather
6;whoa wherever pish;purse;willfully;near
7;toaster likely;how yawningly;wedding cautiously;aha than exempt
8;biodegrade accelerator cheetah;than tall;usefully;gifted
9;after;knowingly desecrate;woot vista unfreeze;furthermore hutch but
10;sanity;less behest;which nice;unless outside
