id;uuid;part_number;part_type;value;schematic_part;rating_voltage;rating_electricity;characteristics;tolerance;manufacture;b_code;parts_name;item_registration_classification;spice_model;pcb_foot_print;del_flag;remark;create_by;create_time;update_by;update_time
1;8c182ead-c64b-456f-b9a6-969cd353afe4;between;beneath whether amidst;because;tiny overdub;about whose woot;beneath;of woot;who abseil;information promise along;feminize giving;quarrelsomely needily per;26976;circa unearth;sans;true;drat yowza;nearly petal near;2025-04-16T02:54:48;tempting legging yahoo;2025-04-15T18:25:13
2;f41e8bd6-d038-4422-9f8d-133650ae3995;with if;schlep interestingly when;intervention sardonic;finally;lovable yum liberalize;past that;shinny scenario towards;where tightly;loudly peppery;if;quaver distinction speedily;20927;than manner;rag repeat;false;youthfully sick;a icy;2025-04-15T20:56:44;triumphantly hence;2025-04-16T05:02:42
3;df1c7171-649c-430c-a377-6cb6a8b79ade;corporation amount;for as;ill down;pip;gorgeous entrench and;fortunately cinder;gosh;mmm tinted finally;nor fork;tapioca inhibit excluding;scope plus reborn;12519;uh-huh mixed;goat;false;pace;regarding safe at;2025-04-16T03:17:58;guide expatiate mmm;2025-04-15T11:59:11
4;09f57943-d019-4861-bfa7-6c572e0d15d2;than;rural;unless;yet putrefy;immaculate ugh lone;grade;since;pliers by elegant;till;besides;incidentally;25120;psst yieldingly nor;ligate;true;apricot mmm;solemnly pessimistic poorly;2025-04-15T11:43:12;crumble dense victoriously;2025-04-16T01:30:05
5;1060ef1f-662f-45ae-be42-33a8f3394d17;ah pish wherever;yet or notwithstanding;monasticism gee per;gadzooks fellow;meh certification;scamper phooey busily;by citizen bah;restfully ferociously important;phooey;jealously meh ugh;solidly provision drat;27346;the;before supposing;true;hotfoot;um all;2025-04-15T19:16:29;deployment chiffonier;2025-04-15T05:20:51
6;9e2539fb-75c2-485b-a8a8-d5d6b443b143;and but teammate;upon;oof woot ugh;armchair;generously;for;chiffonier councilman;since exploration prestigious;at international;emphasize;injunction sand;2394;oh graft scarcely;than whoever step-mother;true;below stack bah;giant;2025-04-15T15:48:14;junior cleverly;2025-04-16T04:06:41
7;ec505e85-1cf6-48a3-ba6d-7220227272fd;circa of;coexist;debit suspiciously;drat noisily;though proud;sweetly furiously;thorn yawningly;phooey jive;pecan mountain;pish nearly;accept lest;23481;acidic meh connect;pension;false;busily yippee;properly gum interestingly;2025-04-15T06:16:22;bar ugh now;2025-04-15T23:40:11
8;8625f410-a1cd-449a-b453-d44d9efbd7b8;as playfully;absent bonfire indeed;penalise tectonics sneaky;doubtfully;inasmuch jaggedly;responsibility;freely;ick rapidly within;harvest that;probate;gently break;7207;maintainer sans buzzing;fortunately wiggly;true;less aha daintily;design;2025-04-15T23:22:02;before gloss once;2025-04-15T16:44:22
9;efee76be-e4ed-4830-8dbd-09f227330c7b;scaly boohoo;yuck;natural intermarry;investigate;into;pfft beep lest;beneath exterior;scheme from awkwardly;yahoo dimly urgently;ceramic;unfortunately like;19453;design;austere weird;true;weighty disposer wherever;overcharge;2025-04-16T04:32:04;stark acidly;2025-04-15T19:49:27
10;7ea6af38-3ae1-42a5-826d-e5d6842d55b0;austere hmph legal;quintessential;prickly huzzah;drat although but;owlishly likewise sedately;er stealthily micromanage;once expatiate meanwhile;redound lid;all developmental psst;where search around;uh-huh;24159;boggle;for unaccountably;false;lively glass round;scramble;2025-04-15T07:52:30;unwritten between closely;2025-04-16T05:04:24
